Individual,Coverage,Bengal,Amur,Sumatran,Malayan,SouthChina,Indochinese
AMU1,Full,0,1,0,0,0,0
AMU1,5x,0,1,0,0,0,0
AMU1,2x,0,1,0,0,0,0
AMU1,1x,0,1,0,0,0,0
AMU1,0.5x,0,1,0,0,0,0
AMU1,0.25x,0,1,0,0,0,0
GEN1,Full,0.2886,0.3768,0.055,0.1291,0.0098,0.1407
GEN1,5x,0.2893,0.3744,0.0544,0.1244,0,0.1575
GEN1,2x,0.282,0.3719,0.0543,0.1294,0.0125,0.1499
GEN1,1x,0.289,0.3852,0.053,0.1298,0,0.143
GEN1,0.5x,0.2869,0.3778,0.0575,0.1262,0.0069,0.1447
GEN1,0.25x,0.283,0.3844,0.0575,0.1331,0,0.142
5594-DP-0001_S3,Full,0.3283,0.375,0.1107,0.0387,0.0246,0.1227
5594-DP-0001_S3,5x,0.3279,0.3739,0.1098,0.0417,0.0332,0.1135
5594-DP-0001_S3,2x,0.3289,0.3793,0.1104,0.0415,0.023,0.1169
5594-DP-0001_S3,1x,0.3314,0.3769,0.1111,0.0438,0.0164,0.1204
5594-DP-0001_S3,0.5x,0.332,0.375,0.1128,0.0456,0.0273,0.1073
5594-DP-0001_S3,0.25x,0.3354,0.3857,0.1163,0.0444,0,0.1182
SUM1,Full,0,0,1,0,0,0
SUM1,5x,0,0,1,0,0,0
SUM1,2x,0,0,1,0,0,0
SUM1,1x,0,0,1,0,0,0
SUM1,0.5x,0,0,1,0,0,0
SUM1,0.25x,0,0,1,0,0,0
MAL1,Full,0,0,0,1,0,0
MAL1,5x,0,0,0,0.975,0,0.025
MAL1,2x,0,0,0,0.98,0,0.02
MAL1,1x,0,0,0,0.9877,0,0.0123
MAL1,0.5x,0,0,0,0.986,0,0.014
MAL1,0.25x,0,0,0,1,0,0
SRR836354,Full,NA,NA,NA,NA,NA,NA
SRR836354,5x,0.1225,0.0289,0.1099,0.2219,0.0264,0.4904
SRR836354,2x,0.125,0.034,0.107,0.219,0.025,0.49
SRR836354,1x,0.12,0.025,0.104,0.22,0.026,0.505
SRR836354,0.5x,0.12,0.031,0.107,0.216,0.015,0.511
SRR836354,0.25x,0.125,0.033,0.109,0.213,0.014,0.506
SRR7651465,Full,NA,NA,NA,NA,NA,NA
SRR7651465,5x,0.162,0.5287,0.025,0.0563,0.071,0.157
SRR7651465,2x,0.155,0.527,0.0245,0.0655,0.075,0.153
SRR7651465,1x,0.162,0.53,0.0248,0.0565,0.0697,0.157
SRR7651465,0.5x,0.168,0.527,0.0253,0.0617,0.071,0.147
SRR7651465,0.25x,0.16,0.53,0.0248,0.058,0.064,0.1632
SRR7651468,Full,NA,NA,NA,NA,NA,NA
SRR7651468,5x,0,0,0,0,1,0
SRR7651468,2x,0,0,0,0,1,0
SRR7651468,1x,0,0,0,0,1,0
SRR7651468,0.5x,0,0,0,0,1,0
SRR7651468,0.25x,0,0,0,0,1,0
BEN_SI3,Full,1,0,0,0,0,0
BEN_SI3,5x,1,0,0,0,0,0
BEN_SI3,2x,1,0,0,0,0,0
BEN_SI3,1x,1,0,0,0,0,0
BEN_SI3,0.5x,1,0,0,0,0,0
BEN_SI3,0.25x,1,0,0,0,0,0
